"category","product_name","sales","rn"
"Furniture","HON 5400 Series Task Chairs for Big and Tall",21870.57,1
"Furniture","Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",15610.97,2
"Furniture","Bretford Rectangular Conference Table Tops",12995.28,3
"Furniture","Global Troy Executive Leather Low-Back Tilter",12975.39,4
"Furniture","SAFCO Arco Folding Chair",11572.78,5
"Furniture","DMI Eclipse Executive Suite Bookcases",11046.60,6
"Furniture","Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",10637.53,7
"Furniture","Chromcraft Bull-Nose Wood Oval Conference Tables & Bases",9917.64,8
"Furniture","Bush Advantage Collection Racetrack Conference Table",9544.72,9
"Furniture","GuestStacker Chair with Chrome Finish Legs",9070.93,10
"Office Supplies","Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind",27453.38,1
"Office Supplies","GBC DocuBind TL300 Electric Binding System",19823.48,2
"Office Supplies","GBC Ibimaster 500 Manual ProClick Binding System",19024.50,3
"Office Supplies","GBC DocuBind P400 Electric Binding System",17965.07,4
"Office Supplies","High Speed Automatic Electric Letter Opener",17030.31,5
"Office Supplies","Martin Yale Chadless Opener Electric Letter Opener",16656.21,6
"Office Supplies","Ibico EPK-21 Electric Binding System",15875.92,7
"Office Supplies","Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room",11304.44,8
"Office Supplies","Tennsco 6- and 18-Compartment Lockers",10925.00,9
"Office Supplies","Tennsco Double-Tier Lockers",9630.86,10
"Technology","Canon imageCLASS 2200 Advanced Copier",61599.83,1
"Technology","Cisco TelePresence System EX90 Videoconferencing Unit",22638.48,2
"Technology","Hewlett Packard LaserJet 3310 Copier",18839.68,3
"Technology","HP Designjet T520 Inkjet Large Format Printer - 24"" Color",18374.90,4
"Technology","Lexmark MX611dhe Monochrome Laser Printer",16829.90,5
"Technology","3D Systems Cube Printer, 2nd Generation, Magenta",14299.89,6
"Technology","Samsung Galaxy Mega 6.3",13943.67,7
"Technology","Apple iPhone 5",12996.60,8
"Technology","Canon PC1060 Personal Laser Copier",11619.83,9
"Technology","Cubify CubeX 3D Printer Double Head Print",11099.96,10
