"month","total_sales","running_total"
"2014-01-01 00:00:00+05:30",14236.90,14236.90
"2014-02-01 00:00:00+05:30",4519.92,18756.82
"2014-03-01 00:00:00+05:30",55691.04,74447.86
"2014-04-01 00:00:00+05:30",28295.35,102743.21
"2014-05-01 00:00:00+05:30",23648.28,126391.49
"2014-06-01 00:00:00+05:30",34595.14,160986.63
"2014-07-01 00:00:00+05:30",33946.37,194933.00
"2014-08-01 00:00:00+05:30",27909.47,222842.47
"2014-09-01 00:00:00+05:30",81777.34,304619.81
"2014-10-01 00:00:00+05:30",31453.37,336073.18
"2014-11-01 00:00:00+05:30",78628.74,414701.92
"2014-12-01 00:00:00+05:30",69545.64,484247.56
"2015-01-01 00:00:00+05:30",18174.08,502421.64
"2015-02-01 00:00:00+05:30",11951.40,514373.04
"2015-03-01 00:00:00+05:30",38726.26,553099.30
"2015-04-01 00:00:00+05:30",34195.25,587294.55
"2015-05-01 00:00:00+05:30",30131.72,617426.27
"2015-06-01 00:00:00+05:30",24797.31,642223.58
"2015-07-01 00:00:00+05:30",28765.32,670988.90
"2015-08-01 00:00:00+05:30",36898.32,707887.22
"2015-09-01 00:00:00+05:30",64595.87,772483.09
"2015-10-01 00:00:00+05:30",31404.90,803887.99
"2015-11-01 00:00:00+05:30",75972.51,879860.50
"2015-12-01 00:00:00+05:30",74919.52,954780.02
"2016-01-01 00:00:00+05:30",18542.52,973322.54
"2016-02-01 00:00:00+05:30",22978.82,996301.36
"2016-03-01 00:00:00+05:30",51715.86,1048017.22
"2016-04-01 00:00:00+05:30",38750.04,1086767.26
"2016-05-01 00:00:00+05:30",56987.75,1143755.01
"2016-06-01 00:00:00+05:30",40344.54,1184099.55
"2016-07-01 00:00:00+05:30",39261.99,1223361.54
"2016-08-01 00:00:00+05:30",31115.35,1254476.89
"2016-09-01 00:00:00+05:30",73410.09,1327886.98
"2016-10-01 00:00:00+05:30",59687.80,1387574.78
"2016-11-01 00:00:00+05:30",79412.03,1466986.81
"2016-12-01 00:00:00+05:30",96999.07,1563985.88
"2017-01-01 00:00:00+05:30",43971.37,1607957.25
"2017-02-01 00:00:00+05:30",20301.12,1628258.37
"2017-03-01 00:00:00+05:30",58872.35,1687130.72
"2017-04-01 00:00:00+05:30",36521.52,1723652.24
"2017-05-01 00:00:00+05:30",44261.08,1767913.32
"2017-06-01 00:00:00+05:30",52981.73,1820895.05
"2017-07-01 00:00:00+05:30",45264.43,1866159.48
"2017-08-01 00:00:00+05:30",63120.85,1929280.33
"2017-09-01 00:00:00+05:30",87866.66,2017146.99
"2017-10-01 00:00:00+05:30",77776.96,2094923.95
"2017-11-01 00:00:00+05:30",118447.81,2213371.76
"2017-12-01 00:00:00+05:30",83829.31,2297201.07
