"order_id","order_value"
"CA-2014-145317",23661.24
"CA-2016-118689",18336.74
"CA-2017-140151",14052.48
"CA-2017-127180",13716.46
"CA-2014-139892",10539.90
"CA-2017-166709",10499.97
"CA-2014-116904",9900.19
"CA-2016-117121",9892.74
"US-2016-107440",9135.19
"CA-2016-158841",8805.04
"CA-2016-143714",8539.02
"CA-2014-143917",8319.29
"US-2017-168116",8167.42
"US-2015-126977",7678.22
"CA-2017-100111",7359.92
"CA-2014-145541",6999.96
"CA-2015-145352",6412.77
"CA-2014-128209",6160.62
"US-2016-143819",6125.82
"CA-2015-114811",5850.51
"CA-2017-138289",5802.70
"US-2014-106992",5579.94
"US-2016-140158",5549.41
"CA-2017-143112",5509.14
"CA-2017-135909",5325.88
"CA-2017-149881",5282.64
"CA-2016-108196",5016.56
"CA-2016-136301",4940.87
"US-2015-128587",4909.61
"CA-2016-128818",4835.97
"CA-2016-100300",4823.09
"CA-2014-164973",4807.37
"CA-2017-158379",4749.33
"CA-2016-138478",4685.08
"CA-2014-168494",4630.51
"US-2017-167402",4619.33
"CA-2015-111829",4607.27
"CA-2017-129021",4590.35
"CA-2014-144624",4548.81
"CA-2017-121559",4472.32
"CA-2016-129714",4438.69
"CA-2017-118892",4416.17
"CA-2016-103982",4406.07
"CA-2015-117086",4404.90
"CA-2014-167199",4374.88
"US-2017-102183",4337.64
"CA-2016-113831",4317.30
"CA-2015-116638",4297.64
"CA-2014-160766",4283.79
"CA-2014-102988",4251.92
"CA-2015-137113",4210.65
"CA-2015-147830",4190.20
"CA-2017-127432",4189.38
"CA-2016-159016",4173.81
"CA-2017-168109",4150.97
"CA-2016-107104",4104.17
"CA-2015-120782",3999.70
"CA-2016-122903",3963.57
"CA-2017-117457",3955.51
"CA-2015-149846",3862.10
"CA-2017-119809",3859.49
"CA-2014-116246",3785.29
"CA-2014-163223",3769.56
"CA-2015-102491",3747.93
"CA-2014-131926",3745.63
"CA-2017-102204",3740.51
"CA-2014-115812",3714.29
"CA-2015-158421",3631.96
"US-2017-110576",3629.93
"CA-2016-124590",3588.09
"CA-2016-160717",3528.49
"CA-2014-125997",3519.37
"CA-2017-165323",3505.84
"CA-2017-137596",3480.96
"US-2014-148838",3455.14
"CA-2015-124891",3419.87
"CA-2017-166093",3397.74
"CA-2015-164301",3393.68
"CA-2015-131338",3385.62
"US-2015-160857",3384.51
"CA-2016-169663",3384.45
"CA-2017-133865",3359.95
"CA-2016-145625",3354.98
"US-2016-126452",3339.12
"CA-2014-117639",3333.90
"US-2015-134558",3332.97
"US-2015-150630",3329.43
"CA-2017-122490",3321.27
"CA-2017-143567",3291.07
"CA-2014-144414",3290.52
"CA-2015-135580",3251.34
"US-2014-131275",3247.16
"CA-2016-133711",3236.41
"US-2015-163825",3184.36
"CA-2015-121720",3165.74
"CA-2016-135265",3136.87
"CA-2014-119375",3116.49
"CA-2017-133263",3098.61
"CA-2017-141439",3083.94
"CA-2017-159366",3059.98
"CA-2017-152912",3013.78
"US-2017-105935",3002.65
"CA-2017-161956",2971.79
"CA-2017-145219",2970.43
"CA-2017-119284",2942.80
"US-2017-163300",2911.78
