"product_name","sum"
"Cubify CubeX 3D Printer Double Head Print",-8879.97
"Lexmark MX611dhe Monochrome Laser Printer",-4589.97
"Cubify CubeX 3D Printer Triple Head Print",-3839.99
"Chromcraft Bull-Nose Wood Oval Conference Tables & Bases",-2876.11
"Bush Advantage Collection Racetrack Conference Table",-1934.40
"GBC DocuBind P400 Electric Binding System",-1878.17
"Cisco TelePresence System EX90 Videoconferencing Unit",-1811.08
"Martin Yale Chadless Opener Electric Letter Opener",-1299.19
"Balt Solid Wood Round Tables",-1201.06
"BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables",-1148.44
"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",-1147.41
"Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop",-1057.23
"Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs",-989.04
"O'Sullivan 4-Shelf Bookcase in Odessa Pine",-975.12
"Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables",-964.20
"Zebra GK420t Direct Thermal/Thermal Transfer Printer",-938.28
"3.6 Cubic Foot Counter Height Office Refrigerator",-872.07
"Bevis Oval Conference Table, Walnut",-856.02
"Tennsco Single-Tier Lockers",-825.76
"BPI Conference Tables",-795.98
