"product_name","sum"
"Canon imageCLASS 2200 Advanced Copier",61599.83
"Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind",27453.38
"Cisco TelePresence System EX90 Videoconferencing Unit",22638.48
"HON 5400 Series Task Chairs for Big and Tall",21870.57
"GBC DocuBind TL300 Electric Binding System",19823.48
"GBC Ibimaster 500 Manual ProClick Binding System",19024.50
"Hewlett Packard LaserJet 3310 Copier",18839.68
"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",18374.90
"GBC DocuBind P400 Electric Binding System",17965.07
"High Speed Automatic Electric Letter Opener",17030.31
"Lexmark MX611dhe Monochrome Laser Printer",16829.90
"Martin Yale Chadless Opener Electric Letter Opener",16656.21
"Ibico EPK-21 Electric Binding System",15875.92
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",15610.97
"3D Systems Cube Printer, 2nd Generation, Magenta",14299.89
"Samsung Galaxy Mega 6.3",13943.67
"Apple iPhone 5",12996.60
"Bretford Rectangular Conference Table Tops",12995.28
"Global Troy Executive Leather Low-Back Tilter",12975.39
"Canon PC1060 Personal Laser Copier",11619.83
