"state","avg_sales"
"Wyoming",1603.14
"Vermont",811.76
"Nevada",428.95
"Rhode Island",404.07
"Montana",372.62
"Indiana",359.43
"Missouri",336.44
"Minnesota",335.54
"Alabama",319.85
"Virginia",315.34
"West Virginia",302.46
"Michigan",299.10
"Oklahoma",298.23
"Wisconsin",291.95
"District of Columbia",286.50
"Delaware",285.95
"New York",275.60
"New Jersey",275.11
"Washington",273.99
"New Hampshire",270.09
"Georgia",266.83
"Kentucky",263.25
"Florida",233.61
"California",228.73
"Maryland",225.77
"North Carolina",223.31
"Louisiana",219.45
"Massachusetts",212.11
"Utah",211.70
"Idaho",208.69
"Mississippi",203.23
"South Carolina",201.95
"Pennsylvania",198.49
"Nebraska",196.45
"Arkansas",194.64
"Colorado",176.42
"Texas",172.78
"Tennessee",167.55
"Ohio",166.86
"Connecticut",163.22
"Illinois",162.94
"Maine",158.82
"Arizona",157.51
"Iowa",152.66
"Oregon",140.57
"North Dakota",131.42
"New Mexico",129.28
"Kansas",121.43
"South Dakota",109.63
