"month_start","total_sales"
"2014-01-01 00:00:00+05:30",14236.90
"2014-02-01 00:00:00+05:30",4519.92
"2014-03-01 00:00:00+05:30",55691.04
"2014-04-01 00:00:00+05:30",28295.35
"2014-05-01 00:00:00+05:30",23648.28
"2014-06-01 00:00:00+05:30",34595.14
"2014-07-01 00:00:00+05:30",33946.37
"2014-08-01 00:00:00+05:30",27909.47
"2014-09-01 00:00:00+05:30",81777.34
"2014-10-01 00:00:00+05:30",31453.37
"2014-11-01 00:00:00+05:30",78628.74
"2014-12-01 00:00:00+05:30",69545.64
"2015-01-01 00:00:00+05:30",18174.08
"2015-02-01 00:00:00+05:30",11951.40
"2015-03-01 00:00:00+05:30",38726.26
"2015-04-01 00:00:00+05:30",34195.25
"2015-05-01 00:00:00+05:30",30131.72
"2015-06-01 00:00:00+05:30",24797.31
"2015-07-01 00:00:00+05:30",28765.32
"2015-08-01 00:00:00+05:30",36898.32
"2015-09-01 00:00:00+05:30",64595.87
"2015-10-01 00:00:00+05:30",31404.90
"2015-11-01 00:00:00+05:30",75972.51
"2015-12-01 00:00:00+05:30",74919.52
"2016-01-01 00:00:00+05:30",18542.52
"2016-02-01 00:00:00+05:30",22978.82
"2016-03-01 00:00:00+05:30",51715.86
"2016-04-01 00:00:00+05:30",38750.04
"2016-05-01 00:00:00+05:30",56987.75
"2016-06-01 00:00:00+05:30",40344.54
"2016-07-01 00:00:00+05:30",39261.99
"2016-08-01 00:00:00+05:30",31115.35
"2016-09-01 00:00:00+05:30",73410.09
"2016-10-01 00:00:00+05:30",59687.80
"2016-11-01 00:00:00+05:30",79412.03
"2016-12-01 00:00:00+05:30",96999.07
"2017-01-01 00:00:00+05:30",43971.37
"2017-02-01 00:00:00+05:30",20301.12
"2017-03-01 00:00:00+05:30",58872.35
"2017-04-01 00:00:00+05:30",36521.52
"2017-05-01 00:00:00+05:30",44261.08
"2017-06-01 00:00:00+05:30",52981.73
"2017-07-01 00:00:00+05:30",45264.43
"2017-08-01 00:00:00+05:30",63120.85
"2017-09-01 00:00:00+05:30",87866.66
"2017-10-01 00:00:00+05:30",77776.96
"2017-11-01 00:00:00+05:30",118447.81
"2017-12-01 00:00:00+05:30",83829.31
