"city","total_sales"
"New York City",256368.12
"Los Angeles",175851.33
"Seattle",119540.74
"San Francisco",112669.09
"Philadelphia",109077.09
"Houston",64504.71
"Chicago",48539.59
"San Diego",47521.05
"Jacksonville",44713.18
"Springfield",43054.35
"Detroit",42446.94
"Columbus",38706.23
"Newark",28576.15
"Columbia",25283.34
"Lafayette",25036.20
"Jackson",24963.85
"San Antonio",21843.54
"Burlington",21668.08
"Arlington",20214.53
"Dallas",20131.90
"Lakewood",18192.06
"Richmond",18137.93
"Henderson",17549.07
"Atlanta",17197.84
"Minneapolis",16870.54
"Providence",15980.65
"Charlotte",13693.33
"Long Beach",13455.02
"Louisville",12345.80
"Denver",12198.78
"Aurora",11656.47
"Milwaukee",11410.22
"Franklin",11257.03
"Phoenix",11000.27
"Concord",10542.40
"Lancaster",9891.48
"North Las Vegas",9801.00
"Fairfield",9483.85
"Indianapolis",9306.42
"Huntsville",9194.98
"Buffalo",9063.50
"Miami",8673.08
"Anaheim",7986.88
"Rochester",7974.53
"Fresno",7888.53
"Yonkers",7657.67
"Lawrence",7654.19
"Florence",7621.72
"Sacramento",7311.26
"Wilmington",7297.07
"Tallahassee",7250.68
"Fayetteville",6925.92
"Roswell",6652.32
"Fort Worth",6602.69
"Oklahoma City",6596.82
"Pasadena",6590.16
"Decatur",6544.30
"Cleveland",6346.21
"Tucson",6313.00
"Omaha",6312.53
"Baltimore",6156.84
"San Jose",6071.22
"Nashville",6070.90
"Austin",6058.01
"Chesapeake",5996.72
"Oakland",5964.42
"Memphis",5942.32
"Virginia Beach",5752.13
"Everett",5665.74
"Lakeland",5606.88
"Tulsa",5556.97
"Alexandria",5519.57
"Clinton",5514.25
"Des Moines",5463.28
"Mobile",5462.99
"Madison",5346.79
"Midland",5291.51
"Tampa",5196.10
"Brentwood",5090.12
"Morristown",5033.10
"Fort Lauderdale",4929.52
"Dover",4878.07
"Round Rock",4854.05
"Lowell",4837.93
"Jamestown",4708.79
"Great Falls",4605.58
"Plainfield",4526.85
"Raleigh",4507.52
"Troy",4507.07
"Toledo",4466.08
"Harrisonburg",4388.71
"Oceanside",4350.74
"Santa Barbara",4289.24
"Lakeville",4260.95
"Gilbert",4172.38
"Portland",4051.86
"Watertown",4045.00
"Mesa",4037.73
"Cranston",4024.92
"Knoxville",3928.18
"Kenosha",3906.73
"Parma",3879.75
"Westminster",3826.65
"Bellingham",3790.24
"Amarillo",3773.06
"Montgomery",3722.73
"Colorado Springs",3694.03
"Roseville",3588.63
"Little Rock",3560.35
"El Paso",3546.07
"Plano",3530.39
"Inglewood",3479.33
"Salem",3444.26
"Marion",3369.34
"Santa Ana",3366.31
"Newport News",3321.95
"Burbank",3247.16
"Smyrna",3238.90
"Rockford",3166.23
"Auburn",3155.17
"Torrance",3132.27
"Noblesville",3091.18
"Waynesboro",3058.77
"Orem",2994.09
"Monroe",2970.43
"Marietta",2938.62
"Glendale",2917.88
"Jonesboro",2915.32
"Redlands",2891.02
"Washington",2865.02
"Provo",2761.23
"Akron",2729.99
"Hampton",2722.26
"Hempstead",2589.57
"Beverly",2583.19
"Sparks",2561.96
"Huntington Beach",2527.82
"Edmonds",2523.69
"Medina",2477.71
"Broken Arrow",2439.53
"Warwick",2426.84
"Independence",2417.37
"Greensboro",2406.79
"Dublin",2401.16
"Hialeah",2338.94
"Paterson",2243.21
"Albuquerque",2220.17
"Clarksville",2217.74
"Pasco",2201.11
"Carrollton",2200.64
"Pleasant Grove",2138.17
"Gresham",2133.43
"Manchester",2126.28
"Mount Vernon",2119.63
"Greenville",2117.83
"Bowling Green",2077.36
"San Gabriel",2061.01
"Westland",2057.98
"Apple Valley",2053.03
"Chico",2050.18
"Highland Park",2035.09
"Spokane",2027.92
"Lorain",2015.11
"Sandy Springs",1997.03
"Chester",1968.50
"Redondo Beach",1959.81
"Wheeling",1946.97
"Riverside",1944.24
"Belleville",1891.60
"Peoria",1842.83
"Las Vegas",1834.02
"Georgetown",1786.42
"Trenton",1765.20
"Evanston",1753.80
"Orlando",1740.09
"Hattiesburg",1722.84
"Muskogee",1721.70
"Athens",1720.81
"Perth Amboy",1717.08
"Pembroke Pines",1714.38
"Kent",1697.57
"Saint Petersburg",1690.79
"Bethlehem",1689.63
"Dubuque",1687.30
"Pueblo",1686.94
"Appleton",1671.31
"Greenwood",1665.05
"Saint Charles",1659.65
"Eau Claire",1645.65
"Lake Forest",1625.54
"Cincinnati",1611.98
"Lansing",1610.29
"Dearborn",1603.31
"Cheyenne",1603.14
"Suffolk",1597.90
"Bloomington",1567.75
"Passaic",1562.09
"Oxnard",1558.10
"Meriden",1550.68
"Pharr",1540.71
"Miramar",1531.20
"Lehi",1516.73
"Costa Mesa",1497.68
"Des Plaines",1493.21
"Pomona",1482.50
"Asheville",1475.37
"Camarillo",1467.52
"Scottsdale",1466.30
"Eugene",1465.02
"Hackensack",1456.16
"Southaven",1455.39
"Plantation",1436.84
"Bossier City",1417.18
"Tamarac",1413.51
"Tigard",1393.78
"Bakersfield",1377.28
"Norman",1351.33
"Pocatello",1344.95
"Saint Cloud",1331.82
"Waterbury",1326.06
"Carol Stream",1305.81
"Superior",1299.73
"Brownsville",1292.22
"Richardson",1288.46
"Naperville",1288.31
"Quincy",1276.46
"Moreno Valley",1262.47
"New Rochelle",1255.22
"Bristol",1251.18
"Renton",1242.63
"South Bend",1238.33
"Stockton",1227.60
"Vallejo",1221.41
"Hesperia",1213.17
"Danville",1202.25
"Bangor",1164.45
"Middletown",1154.61
"Twin Falls",1148.81
"Woodstock",1143.90
"Sioux Falls",1137.42
"Fremont",1119.01
"Rio Rancho",1114.19
"Redmond",1098.25
"Boise",1094.47
"Chandler",1076.75
"Hollywood",1070.47
"Tempe",1070.31
"Parker",1067.95
"Lawton",1057.49
"La Porte",1051.73
"Dearborn Heights",1051.57
"Chula Vista",1041.62
"Laredo",1024.34
"Olympia",1020.45
"Grand Prairie",1012.49
"Chattanooga",988.81
"San Bernardino",979.30
"Odessa",976.12
"Milford",961.74
"Edmond",959.55
"Avondale",946.81
"Fort Collins",935.26
"Fargo",919.91
"Longmont",915.09
"Apopka",904.55
"Olathe",895.79
"Gastonia",895.06
"Deltona",893.24
"Elmhurst",891.63
"Ann Arbor",889.27
"Maple Grove",882.87
"Durham",879.95
"League City",875.37
"Reading",873.72
"Mcallen",866.71
"El Cajon",865.62
"Allentown",853.26
"Yuma",840.88
"Revere",833.26
"Buffalo Grove",831.40
"La Crosse",830.41
"Wichita",825.27
