"state","total_sales"
"California",457687.68
"New York",310876.20
"Texas",170187.98
"Washington",138641.29
"Pennsylvania",116512.02
"Florida",89473.73
"Illinois",80166.16
"Ohio",78258.21
"Michigan",76269.61
"Virginia",70636.72
"North Carolina",55603.09
"Indiana",53555.36
"Georgia",49095.84
"Kentucky",36591.75
"New Jersey",35764.32
"Arizona",35282.02
"Wisconsin",32114.61
"Colorado",32108.12
"Tennessee",30661.92
"Minnesota",29863.15
"Massachusetts",28634.44
"Delaware",27451.07
"Maryland",23705.52
"Rhode Island",22627.96
"Missouri",22205.15
"Oklahoma",19683.39
"Alabama",19510.64
"Oregon",17431.14
"Nevada",16729.10
"Connecticut",13384.36
"Arkansas",11678.13
"Utah",11220.06
"Mississippi",10771.34
"Louisiana",9217.03
"Vermont",8929.37
"South Carolina",8481.71
"Nebraska",7464.93
"New Hampshire",7292.52
"Montana",5589.35
"New Mexico",4783.54
"Iowa",4579.76
"Idaho",4382.49
"Kansas",2914.31
"District of Columbia",2865.02
"Wyoming",1603.14
"South Dakota",1315.56
"Maine",1270.53
"West Virginia",1209.82
"North Dakota",919.91
